"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","genename"
"ENS243970",430.299896203959,-24.1533426002883,1.36481194204625,-17.3308438119504,2.75260125570894e-67,9.6594283265338e-63,"PPIEL","728448","peptidylprolyl isomerase E like pseudogene"
"ENS243532",11.7765874997804,-20.7125930710846,1.23988666057692,-16.3019683280403,9.55643326481622e-60,1.67677178064465e-55,NA,NA,NA
"ENS243539",16.2721980215054,-20.7716491736784,1.31489761529257,-15.4169031397687,1.26003423586726e-53,1.47390404683513e-49,NA,NA,NA
"ENS266780",7.55799730525365,-20.0819905574737,1.32027501738868,-14.8317511878731,9.13192123398433e-50,8.01143449857445e-46,"MIR4444-2","100846999","microRNA 4444-2"
"ENS266630",31.4405849215014,-20.4033829709839,1.36205268966366,-14.6127848959343,2.32803735727937e-48,1.63390973883296e-44,NA,NA,NA
"ENS251785",4.21385973306547,-19.895316360002,1.33855373839636,-14.4897554753673,1.40642598561546e-47,8.22571678120293e-44,NA,NA,NA
"ENS266645",2.9134713682987,-17.6876761558815,1.22302191491748,-14.0534490398246,7.33717775813889e-45,3.67823202698014e-41,"MIR4299","100423026","microRNA 4299"
"ENS243749",25.170497732283,-21.4966646372431,1.5364412065613,-13.6657781290803,1.62556762040654e-42,7.13055236691331e-39,"TMEM35B","100506144","transmembrane protein 35B"
"ENS243385",4.15416452120114,-20.2466864367799,1.50195469863891,-13.1473249191035,1.76302095427138e-39,6.87421459192126e-36,NA,NA,NA
"ENS171815",8197.73287674767,-7.07477834166794,0.559704268031894,-11.7468790523736,7.3275423929135e-32,2.5713811765212e-28,"PCDHB1","29930","protocadherin beta 1"
"ENS266809",5427.52400853631,-7.38881554030024,0.609397045474946,-11.3043139796178,1.24926659105637e-29,3.98538756485001e-26,NA,NA,NA
"ENS243313",79022.1133171809,-7.26413749072658,0.604916765214214,-11.1819309361202,4.99902883470291e-29,1.46188266556162e-25,NA,NA,NA
"ENS266765",3382.11576857015,-6.76288313768841,0.583351936312538,-10.7360287124049,6.89467496747392e-27,1.86113795352765e-23,NA,NA,NA
"ENS243317",179334.733393294,-7.99109458185767,0.711787285256794,-10.5243444734407,6.67242616042758e-26,1.67249127729803e-22,"STMP1","647087","short transmembrane mitochondrial protein 1"
"ENS106809",1516.31151530474,-6.82790947865695,0.611804407250222,-10.3430269603614,4.50091788024786e-25,1.05297473502439e-21,"OGN","4969","osteoglycin"
"ENS187764",1582.44289562516,-6.863781664224,0.61821578209999,-10.293787134659,7.51607649426315e-25,1.64846347710427e-21,"SEMA4D","10507","semaphorin 4D"
"ENS232773",2118.29827280055,-5.21653826202371,0.460595017687912,-10.240098309573,1.31103086027433e-24,2.70627617345568e-21,NA,NA,NA
