"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","genename"
"ENS273051",1.55628648366936,-33.9678557023221,3.70908133909636,-9.02321967155237,1.82640844825327e-19,6.53598527291917e-15,NA,NA,NA
"ENS229926",8.17157101238686,-31.8467809661322,3.7026777015911,-8.46597611038682,2.54016234055209e-17,4.54511247594985e-13,NA,NA,NA
"ENS261837",0.416798940024558,-31.354698081652,3.72085674127408,-8.29236389012033,1.11019674882639e-16,1.32431669511671e-12,NA,NA,NA
"ENS165244",0.606868754963332,-17.545467384583,2.13929479132601,-7.96779735719247,1.61527443782133e-15,1.17655364414456e-11,"ZNF367","195828","zinc finger protein 367"
"ENS242978",2.14880521976986,-20.5413408354516,2.51597765513824,-7.96562751442656,1.64387420240396e-15,1.17655364414456e-11,NA,NA,NA
"ENS113303",0.595353365102617,-18.6110092873943,2.38953330884102,-7.57930815209209,3.47402489265011e-14,2.07202424680628e-10,"BTNL8","79908","butyrophilin like 8"
"ENS213218",0.545573787909932,17.9797513795887,2.44160882813326,7.15911213056715,8.12012485038545e-13,4.1512398270842e-09,"CSH2","1443","chorionic somatomammotropin hormone 2"
"ENS242640",4.71144780522783,24.765677413814,3.71497322347839,6.5318579580753,6.495874884773e-11,2.90576723283108e-07,NA,NA,NA
"ENS139880",0.386268003969342,20.4141032609988,3.35432892738958,5.93683675396034,2.90573731239535e-09,1.15538572734867e-05,"CDH24","64403","cadherin 24"
"ENS229957",5095.17111177686,9.31733164775956,1.52140804777185,5.79550743186407,6.81149114508595e-09,2.43756022118046e-05,NA,NA,NA
"ENS048991",0.380704725207005,16.9900854880184,2.87166739921819,5.74233822917925,9.33780714531088e-09,3.03784333183723e-05,"R3HDM1","23518","R3H domain containing 1"
"ENS157657",1.70076350082423,-21.6009402135259,3.72577970505869,-5.66349647159117,1.48319221909727e-08,4.42312639605123e-05,"ZNF618","114991","zinc finger protein 618"
"ENS259234",327.709273829862,-3.83790933592248,0.595555419644942,-5.60469979084814,2.08616229658277e-08,5.74272338042393e-05,"ANKRD34C-AS1","729911","ANKRD34C antisense RNA 1"
"ENS119912",189.343806033196,-2.48775055356174,0.360408018529461,-5.51527838274013,3.48228304712057e-08,8.50084488543449e-05,"IDE","3416","insulin degrading enzyme"
"ENS272253",2.87824617648036,-21.0100503594656,3.72149652463565,-5.51123727341749,3.56319994639013e-08,8.50084488543449e-05,NA,NA,NA
"ENS115204",21.3994103361065,-4.64079480045231,0.761350534903866,-5.4387494466989,5.36558479688219e-08,0.000116410808432629,"MPV17","4358","mitochondrial inner membrane protein MPV17"
"ENS251418",1028.18657945769,-3.65115800017286,0.579964135019823,-5.43336701340188,5.5300501407106e-08,0.000116410808432629,NA,NA,NA
"ENS207688",150.571766602007,-2.20078455190384,0.333679588341262,-5.09705900908871,3.44970821694701e-07,0.000685840323620365,"MIR548AA2","100500895","microRNA 548aa-2"
"ENS266867",139.650106658265,-2.7246543468658,0.456799077380597,-4.87009378307535,1.11545293765457e-06,0.0021009262540477,NA,NA,NA
"ENS259838",738.739968999,-3.21297114469467,0.561922875529572,-4.82801334994217,1.37901851111702e-06,0.00229386046817019,NA,NA,NA
"ENS260510",2210.96316912228,-2.73602903110782,0.463198830036748,-4.82736329651441,1.38352596120099e-06,0.00229386046817019,NA,NA,NA
"ENS258452",75.7861858233181,-2.73187362993783,0.462702617738366,-4.82355954856482,1.41018639411346e-06,0.00229386046817019,NA,NA,NA
"ENS266756",0.348049115562376,-18.2664770693967,3.72703007959501,-4.7669261288407,1.87057854742553e-06,0.00291045756079,"MIR5680","100847001","microRNA 5680"
"ENS261465",2522.57077501427,-1.81904623412752,0.279282477045111,-4.72298243729218,2.32410926847464e-06,0.00346544059506806,"LOC102723385","102723385","uncharacterized LOC102723385"
"ENS060140",908.006061975325,-1.96263680054733,0.312356066159477,-4.68259450994803,2.83266512637022e-06,0.00405479016849139,"STYK1","55359","serine/threonine/tyrosine kinase 1"
"ENS115363",77.1895251897739,-3.12368550982026,0.564713764687486,-4.64604490608124,3.38359379318303e-06,0.004657126441648,"EVA1A","84141","eva-1 homolog A, regulator of programmed cell death"
"ENS199226",691.483543208225,-2.63948418009545,0.466222128527568,-4.58898033615954,4.45416380328715e-06,0.00590358169868274,NA,NA,NA
"ENS115419",1220.30260670388,-1.67498818694663,0.266541852634219,-4.40826900291374,1.04200075644891e-05,0.0133175139536717,"GLS","2744","glutaminase"
"ENS242365",4777.73065679678,2.53600890967143,0.463438975518352,4.39326214933515,1.11662344700654e-05,0.0137791333360607,NA,NA,NA
"ENS196734",328.398634277902,-2.27984883630411,0.408627070092914,-4.35568019490095,1.32654336083327e-05,0.0158238935702598,"LCE1B","353132","late cornified envelope 1B"
"ENS231123",4262.18371842073,-2.82796020211787,0.537795620314127,-4.32870799646547,1.49986639759603e-05,0.0173142641627004,NA,NA,NA
"ENS175800",1505.30349052605,3.50698167772436,0.697953643118125,4.30828280269532,1.64526933301275e-05,0.0176129020922949,NA,NA,NA
"ENS253637",160.320333827847,-3.20845205890887,0.628879945116798,-4.30678713789457,1.65642868376803e-05,0.0176129020922949,NA,NA,NA
"ENS258476",75.8636621885966,8.75765202370856,1.91836215423562,4.30453238742028,1.67338811584985e-05,0.0176129020922949,"LINC02207","101927153","long intergenic non-protein coding RNA 2207"
"ENS235100",77.2766732824165,-3.20925700308746,0.633061391821413,-4.2796118008279,1.872195746385e-05,0.0187328650743712,NA,NA,NA
"ENS223799",0.375527656367038,-16.4189635412609,3.72098812133541,-4.27815489385325,1.88448874609446e-05,0.0187328650743712,NA,NA,NA
"ENS266151",820.570540222208,-1.97547390882516,0.349221299478577,-4.2250398558971,2.38898493432283e-05,0.0231060040161289,"MIR3646","100500813","microRNA 3646"
"ENS171791",225.390912978742,-5.27478879975036,1.13925534836403,-4.19114889967991,2.77545430201603e-05,0.0261374756978804,"BCL2","596","BCL2 apoptosis regulator"
"ENS116754",77.1334526226047,-2.88859894079224,0.575080002567661,-4.15350721660888,3.27417881947111e-05,0.0300435290342546,"SRSF11","9295","serine and arginine rich splicing factor 11"
"ENS252176",80.682783335063,-2.88357818710247,0.576048498947686,-4.13780817319504,3.50639325738027e-05,0.0308425432177346,NA,NA,NA
"ENS253153",951.344152678333,-2.39125644032195,0.457263486544335,-4.13603206023444,3.53362843549746e-05,0.0308425432177346,NA,NA,NA
"ENS255525",1850.57125356283,-1.48307671252216,0.238340184378566,-4.12467882864728,3.71252445460777e-05,0.0316324762220461,NA,NA,NA
"ENS185024",293.132441592422,2.83831512419563,0.57661268929941,4.05526130033092,5.00782893220613e-05,0.0409567181947406,"BRF1","2972","BRF1 RNA polymerase III transcription initiation factor subunit"
"ENS231181",45.0839036053545,2.76050123305699,0.557603066895826,4.05396126251814,5.03575588377742e-05,0.0409567181947406,NA,NA,NA
"ENS269055",27.0609582664579,-3.05633177060787,0.643113873178857,-3.97492866694376,7.04003536001912e-05,0.0559854900874765,NA,NA,NA
"ENS254617",75.6548384953882,-2.39772357869709,0.478635126338529,-3.96486482973853,7.34375493558679e-05,0.0571312204619367,NA,NA,NA
"ENS175793",46.6354099175028,4.08602203618766,0.907231663020917,3.95270820271733,7.72716442054616e-05,0.0588349587135457,"SFN","2810","stratifin"
"ENS243312",71.9831752520202,-3.83139136576078,0.844440036558687,-3.94508931544395,7.97702398962657e-05,0.0594720376026618,NA,NA,NA
"ENS213264",3.87146885991552,-3.06040576517193,0.650106788409919,-3.93843874701626,8.201352466757e-05,0.0598966529337482,NA,NA,NA
"ENS256346",3836.57073059701,-1.76324147156743,0.32165045192783,-3.92737353234272,8.58785520104109e-05,0.0614649972448913,NA,NA,NA
"ENS264831",35.2248190071071,-1.95692766048741,0.372514948111516,-3.91105824846328,9.1892605166966e-05,0.0644797797746087,NA,NA,NA
"ENS076382",188.24218163095,-1.50629416153108,0.257776679587687,-3.90374398157603,9.47159740253306e-05,0.065182804739817,"SPAG5","10615","sperm associated antigen 5"
