"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","genename"
"ENS243970",430.299896203959,-23.7512831175395,1.30925878977398,-17.7591193575668,1.46515327666845e-70,5.24319751588573e-66,"PPIEL","728448","peptidylprolyl isomerase E like pseudogene"
"ENS266780",7.55799730525365,-18.5086301865815,1.28626457743623,-14.0007199937637,1.54299568671672e-44,2.76088218224223e-40,"MIR4444-2","100846999","microRNA 4444-2"
"ENS243532",11.7765874997804,-17.5973025288228,1.25271327203044,-13.6482169627779,2.06878671044382e-42,2.46778670733142e-38,NA,NA,NA
"ENS266645",2.9134713682987,-16.9078312330737,1.20611315306492,-13.6038904736085,3.79686742732854e-42,3.39686744385947e-38,"MIR4299","100423026","microRNA 4299"
"ENS251785",4.21385973306547,-17.7481596986935,1.32323049275409,-13.0348868115896,7.74819157400018e-39,5.54553567334341e-35,NA,NA,NA
"ENS266630",31.4405849215014,-18.112704051967,1.35316153313735,-13.0159656631174,9.92792493147601e-39,5.92134535996334e-35,NA,NA,NA
"ENS243539",16.2721980215054,-17.6131960605449,1.32327883347439,-12.9324187976412,2.95377685354818e-38,1.51005512115822e-34,NA,NA,NA
"ENS243385",4.15416452120114,-17.6268057320484,1.48320057794681,-11.5471946186517,7.62695095456287e-31,3.41172583574984e-27,NA,NA,NA
"ENS243749",25.170497732283,-17.9244777162661,1.52132222685136,-11.4535089336919,2.25815699569419e-30,8.97893402754581e-27,"TMEM35B","100506144","transmembrane protein 35B"
"ENS165244",0.606868754963332,19.1313136528825,2.07761342993867,8.9676517221168,3.02903080859442e-19,1.0839689651636e-15,"ZNF367","195828","zinc finger protein 367"
"ENS171815",8197.73287674767,-5.12536084777974,0.531822513968762,-8.69718886713289,3.40206941320639e-18,1.10678596382731e-14,"PCDHB1","29930","protocadherin beta 1"
"ENS266765",3382.11576857015,-5.10950712309094,0.556491877534266,-8.28315256552348,1.19956583768504e-16,3.57730525561641e-13,NA,NA,NA
"ENS243317",179334.733393294,-6.06923576517368,0.675720867958963,-8.241917675261,1.69472162910039e-16,4.66517755530665e-13,"STMP1","647087","short transmembrane mitochondrial protein 1"
"ENS243359",747.747706655611,-5.54166636718102,0.628339625478852,-8.02379185196033,1.02529979068765e-15,2.62081273639629e-12,NA,NA,NA
"ENS229926",8.17157101238686,29.9913456471748,3.68235193378037,8.00883407602448,1.15801018027151e-15,2.76270348741309e-12,NA,NA,NA
"ENS132911",637.315427978076,-6.5008814581261,0.754644112640262,-7.95193569738576,1.83619561240576e-15,4.10688101159704e-12,"NMUR2","56923","neuromedin U receptor 2"
"ENS242978",2.14880521976986,19.7334956285285,2.5019024327612,7.68754823396596,1.49981310986623e-14,3.157194820569e-11,NA,NA,NA
"ENS132855",3441.66055852267,-6.42474941800329,0.776485861736052,-7.63020900954571,2.34373416982011e-14,4.65960394451014e-11,"ANGPTL3","27329","angiopoietin like 3"
"ENS132837",4306.63379398332,-5.84101159100251,0.705733087465773,-7.56803341923733,3.78916523095037e-14,6.9531919365647e-11,"DMGDH","29958","dimethylglycine dehydrogenase"
"ENS243518",3684.70685858074,-5.65735995262288,0.682426577349629,-7.5573843748184,4.11255318209225e-14,6.9531919365647e-11,NA,NA,NA
"ENS243313",79022.1133171809,-4.83813697794366,0.574260816522194,-7.55429737347577,4.21127013992887e-14,6.9531919365647e-11,NA,NA,NA
"ENS132801",2950.97764941692,-5.96274606597368,0.723316932877616,-7.55235473921632,4.27458287051985e-14,6.9531919365647e-11,"ZSWIM3","140831","zinc finger SWIM-type containing 3"
"ENS113303",0.595353365102617,18.3336371735394,2.3869064430895,7.47144372799815,7.93196879297406e-14,1.23414537054509e-10,"BTNL8","79908","butyrophilin like 8"
"ENS132932",8640.17505145345,-6.08128757761078,0.748568896943156,-7.45594373530939,8.92268191740122e-14,1.25775556555586e-10,"ATP8A2","51761","ATPase phospholipid transporting 8A2"
"ENS133048",2053.47349305665,-5.86132421810425,0.719192057298444,-7.4546488155659,9.01075185150116e-14,1.25775556555586e-10,"CHI3L1","1116","chitinase 3 like 1"
"ENS187764",1582.44289562516,-4.90602908202041,0.591191261933176,-7.45279804646105,9.13811118997715e-14,1.25775556555586e-10,"SEMA4D","10507","semaphorin 4D"
"ENS266809",5427.52400853631,-4.71234134207002,0.580490385662252,-7.25652215111948,3.97169714703259e-13,5.26411681865586e-10,NA,NA,NA
"ENS243671",1759.91716289525,-5.62140697680948,0.709012657080575,-7.22329414808664,5.07430888033911e-13,6.48532919970769e-10,NA,NA,NA
"ENS243305",2977.87267455489,-5.47629564066241,0.700676110323376,-7.10213402076139,1.22845012064922e-12,1.51590744888114e-09,NA,NA,NA
"ENS243328",13629.7886761721,-4.54087865776328,0.569634930603015,-7.09380419049373,1.30474706515086e-12,1.55638928244962e-09,NA,NA,NA
"ENS243714",2730.84852349768,-5.85261287320822,0.756950097087751,-7.07128897109807,1.53501104951325e-12,1.77199694896391e-09,NA,NA,NA
"ENS243636",1124.16458610071,-6.14344664123506,0.798657226119984,-7.06616863488723,1.5926985149175e-12,1.78113465796367e-09,NA,NA,NA
"ENS266771",6351.31436309907,-6.0767960344265,0.7901472503222,-7.05791994106471,1.69013380000683e-12,1.83282206566801e-09,NA,NA,NA
"ENS132793",1824.90890176787,-5.98194880291467,0.779813385432056,-7.02982137178549,2.06798114443041e-12,2.17661097748784e-09,"LPIN3","64900","lipin 3"
"ENS132849",1135.15564073509,-6.36943748539245,0.836978302373772,-7.01265190357506,2.33842747329072e-12,2.39094187311948e-09,"PATJ","10207","PATJ crumbs cell polarity complex component"
"ENS243650",1093.86827606639,-5.13115971430337,0.662119100262065,-6.99445116818163,2.66299312295395e-12,2.64716310827862e-09,NA,NA,NA
"ENS243560",1097.39219069413,-5.88114154696073,0.769971395298974,-6.98875514053515,2.77335957229107e-12,2.68236339605428e-09,NA,NA,NA
"ENS266803",88.434026670785,-6.24728642622207,0.823958182877295,-6.9752161525386,3.05400895914757e-12,2.87607275294881e-09,NA,NA,NA
