"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","genename"
"ENS133138",56.2824563480044,24.313235665207,1.36690157034228,17.4213243893224,5.68459611357722e-68,1.52946163941266e-63,"TBC1D8B","54885","TBC1 domain family member 8B"
"ENS243970",430.299896203959,25.8246690464631,1.45622969947977,17.3905731049917,9.72568764728893e-68,1.52946163941266e-63,"PPIEL","728448","peptidylprolyl isomerase E like pseudogene"
"ENS133247",62.2032927502099,24.8334255523663,1.46422663374156,16.6186196806069,5.10955335083275e-62,5.35685573301305e-58,"KMT5C","84787","lysine methyltransferase 5C"
"ENS133226",7.21938266882119,21.3341454301889,1.28405878312398,16.2252271500387,3.34477924393774e-59,2.62999991950825e-55,"SRRM1","10250","serine and arginine repetitive matrix 1"
"ENS133107",36.0997172416782,23.8992256810842,1.47779701013965,15.8338564231315,1.81733135761723e-56,1.14317411719554e-52,"TRPC4","7223","transient receptor potential cation channel subfamily C member 4"
"ENS133055",85.3782726168225,25.6837328414229,1.69316654115583,14.8737482281167,4.88027751838793e-50,2.55824147513895e-46,"MYBPH","4608","myosin binding protein H"
"ENS132950",5.37467463433295,21.1653958982942,1.42973855159871,14.4539684372268,2.3664870586715e-47,1.06329644241909e-43,"ZMYM5","9205","zinc finger MYM-type containing 5"
"ENS243664",18.1958440023735,23.0308818261733,1.57227467528166,14.3301181278246,1.41879069922943e-46,5.57797563402049e-43,NA,NA,NA
"ENS243749",25.170497732283,24.3830986834448,1.70039168780345,14.0456453973241,8.1918672046778e-45,2.86278452579473e-41,"TMEM35B","100506144","transmembrane protein 35B"
"ENS266630",31.4405849215014,23.4009353683876,1.63180590857152,14.0341049435438,9.64058922137219e-45,3.03215812190598e-41,NA,NA,NA
"ENS243766",8.32447315515247,22.0500637010356,1.61124363311615,13.374801462742,8.48800343661082e-41,2.42695167352985e-37,NA,NA,NA
"ENS243771",19.8776282657652,22.4302197854635,1.68376555239913,13.0245091154265,8.87701244920112e-39,2.32666496293561e-35,NA,NA,NA
"ENS132958",8.6697695837971,22.2599803060277,1.70960254529536,12.7280930681279,4.1279821799047e-37,9.98717657864329e-34,"TPTE2","93492","transmembrane phosphoinositide 3-phosphatase and tensin homolog 2"
"ENS171815",8197.73287674767,8.11527176220902,0.603970836143124,12.6086746354163,1.89147083968101e-36,4.24932434640337e-33,"PCDHB1","29930","protocadherin beta 1"
"ENS134308",2.78198244373873,20.1770921290527,1.60735459263643,12.2419111621025,1.85609917328497e-34,3.67066092613674e-31,"YWHAQ","10971","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta"
"ENS243479",1.95337588352476,19.2076554857698,1.5282256133453,12.2414225507048,1.86730811452969e-34,3.67066092613674e-31,"MNX1-AS1","645249","MNX1 antisense RNA 1 (head to head)"
"ENS251704",2.01503364333482,19.4027960975325,1.57583032273146,11.9954514295469,3.75365027981048e-33,6.75981953033035e-30,NA,NA,NA
"ENS243313",79022.1133171809,8.79751264296061,0.691865706201676,11.9929526331255,3.86864910167704e-33,6.75981953033035e-30,NA,NA,NA
"ENS266765",3382.11576857015,8.67821168803633,0.698208264775088,11.713140764197,1.09159662097173e-31,1.80699457488437e-28,NA,NA,NA
"ENS132801",2950.97764941692,9.90930342191788,0.837203669239463,11.2389658187542,2.6243869082714e-29,4.1271108519476e-26,"ZSWIM3","140831","zinc finger SWIM-type containing 3"
"ENS266809",5427.52400853631,9.48930014112999,0.801701222039465,11.2127808889475,3.52927666176018e-29,5.28584807455625e-26,NA,NA,NA
"ENS243317",179334.733393294,10.1657929219294,0.865988111801166,11.1615769202946,6.28664501523411e-29,8.98761631905197e-26,"STMP1","647087","short transmembrane mitochondrial protein 1"
"ENS266771",6351.31436309907,10.4379593546412,0.896867624440803,11.0807426690616,1.55576683401642e-28,2.12747732449932e-25,NA,NA,NA
"ENS243319",22786.0990004873,9.80082677506219,0.841845925521006,11.0481342168474,2.23818132618941e-28,2.86221308145961e-25,"FGF14-IT1","283480","FGF14 intronic transcript 1"
"ENS266329",5.45335916033537,21.5091200132009,1.90185156160978,11.0466665418505,2.27506444857211e-28,2.86221308145961e-25,"MIR4281","100422962","microRNA 4281"
"ENS133048",2053.47349305665,10.0311444522491,0.878681954425888,10.8470925165142,2.05870138707546e-27,2.49039523178067e-24,"CHI3L1","1116","chitinase 3 like 1"
"ENS132932",8640.17505145345,9.73064626615327,0.858905298717086,10.7469895458099,6.12274194349492e-27,7.13231405951119e-24,"ATP8A2","51761","ATPase phospholipid transporting 8A2"
"ENS217135",2.15910639079111,19.8914610419401,1.81351974805386,10.6927211918975,1.10092612920726e-26,1.23665459342238e-23,NA,NA,NA
"ENS132793",1824.90890176787,10.2949608052778,0.924530090904021,10.5945289414,3.15927527107171e-26,3.42639744226715e-23,"LPIN3","64900","lipin 3"
"ENS132911",637.315427978076,10.6282379991984,0.956360635162149,10.5903961610478,3.30191458168868e-26,3.46172724744242e-23,"NMUR2","56923","neuromedin U receptor 2"
"ENS243303",16021.4650382495,9.74403320478347,0.881973849861587,10.4810740207708,1.05538311297821e-25,1.07077127965777e-22,NA,NA,NA
"ENS132855",3441.66055852267,9.65368010675409,0.873606927791331,10.4780305828121,1.08989685385084e-25,1.07123237022865e-22,"ANGPTL3","27329","angiopoietin like 3"
"ENS266687",2117.56385152418,11.9264864487076,1.09243474107184,10.4596512900134,1.32341816312411e-25,1.26133782019938e-22,NA,NA,NA
"ENS266744",2600.45196271157,9.38878610539868,0.85309126604586,10.4195019444975,2.02008263250332e-25,1.86869526345572e-22,NA,NA,NA
"ENS243714",2730.84852349768,9.77669297038094,0.890849536373459,10.4133106564159,2.1559108134637e-25,1.9373630544303e-22,NA,NA,NA
"ENS187764",1582.44289562516,8.80006505809786,0.804182285620752,10.3211239622009,5.65571596024301e-25,4.94121051059898e-22,"SEMA4D","10507","semaphorin 4D"
"ENS243643",676.631737460848,10.0419611766061,0.928462739211497,10.2771611327232,8.93197753548437e-25,7.59266371475823e-22,NA,NA,NA
"ENS243518",3684.70685858074,8.965704092593,0.827264228695368,10.2333738108606,1.40536293095823e-24,1.16319670801311e-21,NA,NA,NA
"ENS243352",544.901021109868,9.68048468361259,0.898038268322508,10.222821239858,1.5671225852655e-24,1.26382409107104e-21,NA,NA,NA
"ENS132837",4306.63379398332,8.99998474190093,0.832643601070256,10.2084309913333,1.81780449620287e-24,1.42933967536432e-21,"DMGDH","29958","dimethylglycine dehydrogenase"
"ENS266807",1185.13636577677,7.49811638477071,0.686859732385927,10.1885669734365,2.23027431287714e-24,1.71089238264907e-21,"MIR548H5","100616455","microRNA 548h-5"
"ENS243305",2977.87267455489,9.3691262575616,0.87685314778607,10.1147224936751,4.75362226708927e-24,3.55978398915457e-21,NA,NA,NA
"ENS266701",3888.00818826252,9.65350100539983,0.908746829938281,10.0726634788058,7.29746122084185e-24,5.3376686120446e-21,NA,NA,NA
