"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","genename"
"ENS115204",21.3994103361065,6.24307880520344,1.04674635940483,5.48660021943512,4.09743002226759e-08,0.0009784662893175,"MPV17","4358","mitochondrial inner membrane protein MPV17"
"ENS115363",77.1895251897739,4.04057583047857,0.705239293583273,5.02038933833244,5.15668521013952e-07,0.00615708214090659,"EVA1A","84141","eva-1 homolog A, regulator of programmed cell death"
"ENS229957",5095.17111177686,-7.61166280305335,1.4464290532782,-4.91670350988554,8.80136957872011e-07,0.00628909300033736,NA,NA,NA
"ENS260510",2210.96316912228,3.38929260539061,0.591900530199667,4.88138201940106,1.05344941379185e-06,0.00628909300033736,NA,NA,NA
"ENS259234",327.709273829862,4.21426002933766,0.79990053463684,4.64340235879947,3.42717995506385e-06,0.016368211465385,"ANKRD34C-AS1","729911","ANKRD34C antisense RNA 1"
"ENS119912",189.343806033196,2.94996299355877,0.537908705763129,4.55460744046337,5.24834952041182e-06,0.0208884310912391,"IDE","3416","insulin degrading enzyme"
"ENS107099",15.0363166042424,4.04145518532783,0.802358254009171,4.41380788149448,1.01568100416278e-05,0.0346492319705818,"DOCK8","81704","dedicator of cytokinesis 8"
"ENS142687",0.320197412873701,16.731096391983,3.69899460279931,4.38797514862544,1.14410844836745e-05,NA,"KIAA0319L","79932","KIAA0319 like"
"ENS175800",1505.30349052605,-3.23199371441264,0.625653919877864,-4.36662127034378,1.26183242389402e-05,0.0359625230035341,NA,NA,NA
"ENS264831",35.2248190071071,2.52392603070642,0.46711829845045,4.33279115252024,1.47230762966374e-05,0.0359625230035341,NA,NA,NA
"ENS266867",139.650106658265,3.41759488201155,0.674149847319724,4.32781360644267,1.50596829998049e-05,0.0359625230035341,NA,NA,NA
"ENS227108",58.2442416271098,-3.39625431977945,0.676822951689394,-4.2791904626612,1.87574301426462e-05,0.0407206756187628,NA,NA,NA
"ENS260511",31.6321502613306,3.13581262091097,0.619994465313077,4.25134863031394,2.12487101464803e-05,0.0422849331914958,NA,NA,NA
"ENS258452",75.7861858233181,3.20564929726957,0.64407269045935,4.20084462103169,2.65921053317181e-05,0.0488476519478022,NA,NA,NA
"ENS252176",80.682783335063,3.17443653447468,0.659375798350606,4.05601258214912,4.99175715868806e-05,0.0807629663764171,NA,NA,NA
"ENS175793",46.6354099175028,-3.88741745052188,0.838335690933578,-4.04064563534164,5.33042510830831e-05,0.0807629663764171,"SFN","2810","stratifin"
"ENS196734",328.398634277902,2.21324608998887,0.424373860574973,4.03711502793229,5.41125402857066e-05,0.0807629663764171,"LCE1B","353132","late cornified envelope 1B"
"ENS235100",77.2766732824165,3.47992844472238,0.743431816826875,4.00834128601242,6.11467117791585e-05,0.0843667087370486,NA,NA,NA
"ENS207688",150.571766602007,2.66325390181848,0.540939810305838,3.99906581213798,6.35929965354638e-05,0.0843667087370486,"MIR548AA2","100500895","microRNA 548aa-2"
"ENS258476",75.8636621885966,-7.62340358651062,1.80268074507789,-3.95156136546121,7.76429564255245e-05,0.0975849368127118,"LINC02207","101927153","long intergenic non-protein coding RNA 2207"
"ENS205029",13.6244233600559,2.03847391622645,0.396388294966553,3.88122943023901,0.000103929736085905,0.12409210488657,"OR5D16","390144","olfactory receptor family 5 subfamily D member 16"
"ENS199224",70.9155495193823,3.00027314335303,0.659695458352841,3.79004146791587,0.000150622137335978,0.171278887599197,NA,NA,NA
"ENS155890",862.735265284416,2.17605304485531,0.449992022241849,3.72462835342115,0.000195603172031872,0.212318352187323,"TRIM42","287015","tripartite motif containing 42"
