"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","genename"
"ENS270442",20482.4082245421,11.2467177412044,0.235643619651148,45.6058082841964,0,0,NA,NA,NA
"ENS272799",4512.77860644352,-9.41324134859682,0.265190755863781,-33.6106789226667,1.17131927181781e-247,1.8014304740922e-243,NA,NA,NA
"ENS272797",2283.63412108161,-9.52550568878872,0.270239270876713,-33.3982017473185,1.45591532933462e-244,1.49274998716679e-240,NA,NA,NA
"ENS273013",2063.08776041793,-9.74920368666498,0.279338782405488,-33.1110617974945,2.05987811624212e-240,1.58399477443729e-236,NA,NA,NA
"ENS272482",5646.3864544663,-9.04151222238248,0.260450448826555,-32.795152632164,6.90374599394959e-236,4.24704646055791e-232,NA,NA,NA
"ENS273032",499.942370313594,-8.16699127508105,0.245380017878245,-31.2453774409836,2.57982017473141e-214,1.32254481257606e-210,"DGCR5","26220","DiGeorge syndrome critical region gene 5"
"ENS273018",3728.38999109871,-9.81702549307415,0.322028624333412,-28.9322898309431,4.68806058291861e-184,2.06000079242848e-180,"FAM106A","80039","family with sequence similarity 106 member A"
"ENS272569",884.496217188176,-8.50210567811959,0.288371851417003,-27.7492606813002,1.77864441706722e-169,6.83866545307133e-166,NA,NA,NA
"ENS272814",912.220541859224,-9.78886735597707,0.33756227659173,-27.5174923269392,1.08437514113796e-166,3.70603277402917e-163,NA,NA,NA
"ENS272486",554.561857831127,-9.45918988289978,0.364050445054516,-24.6097484692215,9.93400996581096e-134,3.05560212538379e-130,NA,NA,NA
"ENS273007",210.68629744124,-8.83363072053424,0.418248202590803,-19.9250843611814,2.46630432419652e-88,6.89645951890551e-85,NA,NA,NA
"ENS272796",219.9972672999,-8.33804650681883,0.415394411919468,-18.8689262106356,2.05430403568276e-79,5.26569481946384e-76,NA,NA,NA
"ENS272834",182.949095608102,-8.45801563204814,0.459929721683454,-17.302677467592,4.49026663554756e-67,1.06243162648313e-63,NA,NA,NA
"ENS273017",203.814524403068,-10.1542844407427,0.56193433844925,-17.1804493517611,3.72018378803743e-66,8.17350950973167e-63,NA,NA,NA
"ENS272567",158.878514100141,-10.3490250005813,0.583032997238633,-16.8927402861045,5.08837916951542e-64,1.04342303250083e-60,NA,NA,NA
"ENS270441",35.9438936012185,5.42613089231396,0.336685530038552,14.6312521709795,1.7749021748721e-48,3.41213849980567e-45,NA,NA,NA
"ENS272824",69.4869898284838,-8.81440872393825,0.580192461724028,-14.3304321797498,1.41238918965743e-46,2.55551053439252e-43,NA,NA,NA
"ENS272489",35.9830447724938,-8.48121903303723,0.635032994871032,-12.5681958221055,3.1584956917015e-36,5.39734272116925e-33,NA,NA,NA
"ENS272825",19.4146466101189,-7.48416382341489,0.575585713665388,-12.1340117685323,6.97469325779147e-34,1.12912942061267e-30,NA,NA,NA
"ENS273015",13.8565496391219,-7.02567811233711,0.581315452202514,-11.2257090149803,3.04930723995608e-29,4.68968206969046e-26,NA,NA,NA
"ENS273030",14.1697459303337,-6.92600194555179,0.60403685111834,-10.63842699937,1.97434224525778e-26,2.89184729151829e-23,NA,NA,NA
"ENS272494",16.075722443982,-7.0858389141759,0.636815998519274,-10.3418239012357,4.55779129765638e-25,6.37241375111875e-22,NA,NA,NA
"ENS273012",36.2197348797794,-6.80813558969584,0.628092526032697,-10.0433221671029,9.83063385507382e-24,1.31469768151398e-20,NA,NA,NA
"ENS272565",7.74616938697596,-6.27371961895999,0.662059118560239,-8.72085204643949,2.76116040680673e-18,3.53877220637368e-15,NA,NA,NA
"ENS272485",3.89563209986272,-5.26110074162866,0.612173221272578,-7.77737505690193,7.40448390426256e-15,9.11018081644848e-12,NA,NA,NA
"ENS272568",2.60879664155063,-4.40866387677151,0.614907755986503,-6.35650443293043,2.06396488578313e-10,2.44174984314628e-07,"LOC100506497","100506497","uncharacterized LOC100506497"
"ENS272810",2.59182377179258,-4.3975817638282,0.67518148734822,-5.77264311427728,7.80376134899369e-09,8.89021834569248e-06,NA,NA,NA
"ENS272788",2.43446532984426,-4.31700423886321,0.772830719341076,-4.93899135132417,7.85276948294112e-07,0.000862654773306378,NA,NA,NA
"ENS166743",383.776060355976,4.13278548783856,0.748915637833402,4.85072724392314,1.23009609648174e-06,0.00130470778729937,"ACSM1","116285","acyl-CoA synthetase medium chain family member 1"
"ENS234862",1416.55122517643,-2.72953835224754,0.472022290444996,-4.72337514007158,2.31962395598463e-06,0.00237831044207104,NA,NA,NA
"ENS163116",295.024430680575,2.0800910203861,0.346826542687903,4.55585379406203,5.21732184186209e-06,0.00517676137205923,"STPG2","285555","sperm tail PG-rich repeat containing 2"
"ENS272861",4.52586571440319,-4.88729182400848,0.974490733010995,-4.50213806595427,6.72732546484133e-06,0.00646643137415795,NA,NA,NA
"ENS149823",200.79278780246,3.44995029235682,0.662868753432987,4.45027809363327,8.57591663457309e-06,0.00799353393220708,"VPS51","738","VPS51 subunit of GARP complex"
"ENS199313",11354.4780721277,-2.56733384359803,0.478297501713099,-4.3222760649879,1.54427791619999e-05,0.0139707189483516,NA,NA,NA
"ENS233537",5.08973789807149,3.60026199609819,0.729205509941735,4.25156139638318,2.1228529533523e-05,0.0186562382834752,NA,NA,NA
"ENS236292",18.2660469241117,4.58586899965523,0.970553875527376,4.20983224391853,2.55560372969074e-05,0.0218355042004326,NA,NA,NA
"ENS199315",11921.5612765199,-2.46010025552926,0.478941727918697,-4.0925652146601,4.26627204847156e-05,0.0354665572807937,NA,NA,NA
"ENS253047",119.571340723782,2.75565957437849,0.554721911359642,4.06628894259791,4.77677056304726e-05,0.0386654436180976,NA,NA,NA
"ENS243478",1183.93539289142,3.8284143776417,0.826503692916042,4.02710164052444,5.64686263597324e-05,0.044536371235872,NA,NA,NA
"ENS266765",3382.11576857015,2.79347515266813,0.572997898227513,4.00258911902236,6.26530558553574e-05,0.0481786336263735,NA,NA,NA
"ENS243643",676.631737460848,3.41382242767731,0.739154938245935,3.94209965584754,8.0771400715207e-05,0.0605962808438793,NA,NA,NA
"ENS266647",544.730621633785,4.17339466206381,0.940390985807415,3.90624189034506,9.37426744878158e-05,0.0668643717934725,NA,NA,NA
"ENS174672",3.48958845208229,3.34314124678507,0.728229573145585,3.90418262541046,9.45443704408023e-05,0.0668643717934725,"BRSK2","9024","BR serine/threonine kinase 2"
"ENS211821",135.970262673334,-3.52424805893096,0.775301743025173,-3.90073682425962,9.59003599407229e-05,0.0668643717934725,NA,NA,NA
"ENS224078",21.8101270257631,-3.73134202765225,0.830099913413403,-3.8927145701833,9.91287572386758e-05,0.0668643717934725,NA,NA,NA
"ENS269290",2457.14158258075,0.79736315499252,0.0764642730304716,3.88891626386114,0.0001006928491127,0.0668643717934725,NA,NA,NA
"ENS175393",9.37031429241183,2.4788020293307,0.509294133515761,3.88538154891089,0.000102169299206515,0.0668643717934725,NA,NA,NA
"ENS259648",13262.531903622,-2.26836423209505,0.456998099018672,-3.86952207436381,0.000109048908172095,0.0698799034680305,NA,NA,NA
"ENS139974",19.7047974229106,2.95415951696487,0.635106130540045,3.86417229964075,0.000111466522969075,0.0699714036735872,"SLC38A6","145389","solute carrier family 38 member 6"
"ENS223930",12.1549320647114,-3.03331132848159,0.66327529880142,-3.8193964603528,0.000133778598338442,0.0822979181258426,NA,NA,NA
"ENS233829",3963.06516430845,2.35466916378252,0.491768387531971,3.77142819832424,0.000162315865310367,0.0978955627663053,NA,NA,NA
"ENS212428",45.6858054219887,3.09275106076589,0.689469744908333,3.76050012333841,0.000169573991208451,0.100306276838091,NA,NA,NA
"ENS243546",2010.53454916155,3.12979785595406,0.703834521983354,3.73638657072898,0.000186683602270011,0.108343413626854,NA,NA,NA
"ENS272514",4.14729732928791,-3.36783506786477,0.76990941355472,-3.72489934188984,0.000195393172064712,0.111298121843305,"CFAP206","154313","cilia and flagella associated protein 206"
"ENS154864",113.652355167715,-2.40926454415155,0.51700678326882,-3.69291971776475,0.00022169402594526,0.123983391710004,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENS243560",1097.39219069413,3.33314950354967,0.768740876995368,3.68544146451932,0.000228306552639395,0.125357053627567,NA,NA,NA
"ENS109163",38.2745725723674,2.71758880867228,0.602438387174279,3.68102175406488,0.000232301181988079,0.125357053627567,"GNRHR","2798","gonadotropin releasing hormone receptor"
"ENS108442",1587.22308310944,-2.84959086295227,0.644198953825089,-3.64730623823743,0.000265004011983375,0.140538938010287,NA,NA,NA
"ENS132970",432.83528406664,3.8808647751008,0.936452969863273,3.61028784562926,0.000305857388075847,0.15945537965805,"WASF3","10810","WASP family member 3"
"ENS243671",1759.91716289525,3.06722797043787,0.712500817594707,3.60312284146486,0.000314416843226414,0.161185794680021,NA,NA,NA
"ENS243469",934.212874836395,3.06865431550501,0.720586245083282,3.56467297708151,0.000364310128347282,0.183701889144821,NA,NA,NA
"ENS260057",105.89090517838,1.58556566121294,0.305418546050596,3.55435409948257,0.000378908680868071,0.187981485722919,NA,NA,NA
"ENS266744",2600.45196271157,2.97037750027697,0.698808480151731,3.53512810797686,0.000407577508313393,0.19899486632082,NA,NA,NA
"ENS243477",709.103379747892,3.87219319422531,0.960476996367399,3.51095675063454,0.000446497034499825,0.214590660690315,"NAA80","24142","N(alpha)-acetyltransferase 80, NatH catalytic subunit"
"ENS224079",48.2881691891609,-2.53007441379582,0.581999879725752,-3.48810108818652,0.000486464120661443,0.23020230596039,NA,NA,NA
"ENS233861",358.903894778751,1.78718281430252,0.374135190393642,3.44042166401996,0.000580808541435724,0.270683180697294,NA,NA,NA
"ENS243591",1986.60379008323,2.94609559582328,0.714544930496764,3.42329151243535,0.000618676905288786,0.284028103429519,NA,NA,NA
"ENS260965",47.4049364083417,2.16552347628077,0.487985953958734,3.41305618075559,0.000642386977935932,0.28589875907666,NA,NA,NA
"ENS243491",716.983914781209,2.74408299563524,0.658829990073125,3.40616400201539,0.000658825898392165,0.28589875907666,NA,NA,NA
"ENS147955",382.060445129587,-1.63463506413864,0.333128632966021,-3.40599681881553,0.000659229473363839,0.28589875907666,"SIGMAR1","10280","sigma non-opioid intracellular receptor 1"
"ENS243503",1344.01180616919,3.09067026290583,0.760685119096718,3.4057065109702,0.000659930813564904,0.28589875907666,NA,NA,NA
"ENS132911",637.315427978076,3.05724347635991,0.752785888621151,3.39703960317842,0.000681191076498092,0.288977063434179,"NMUR2","56923","neuromedin U receptor 2"
"ENS231113",84.995487826643,1.97130946906188,0.433351970306402,3.39518352258001,0.000685826120182551,0.288977063434179,NA,NA,NA
"ENS229046",18.5386267325194,2.41257763223248,0.564646344018548,3.38721334600487,0.000706064584248553,0.293484331714882,NA,NA,NA
"ENS215267",234.569431666754,3.01252577013575,0.747816315800723,3.35981673179391,0.000779941921474964,0.319869780835312,NA,NA,NA
"ENS266771",6351.31436309907,2.96316173369382,0.735071348056234,3.35091517334639,0.000805449709674548,0.321778004360282,NA,NA,NA
"ENS111799",80.4005218614419,-1.92052943545069,0.424182919491241,-3.34886052732735,0.000811446323808948,0.321778004360282,"COL12A1","1303","collagen type XII alpha 1 chain"
"ENS269037",13.8101321724619,2.21381360332774,0.511996212331141,3.34731695674988,0.000815978553922493,0.321778004360282,"LINC01838","100652911","long intergenic non-protein coding RNA 1838"
"ENS270171",1164.43696980807,2.02507676044092,0.458026004385813,3.3296728697445,0.000869480717472845,0.338536169477813,NA,NA,NA
"ENS249921",16.7612637741849,1.5461650024927,0.314705540798736,3.32426623261062,0.00088651521050604,0.340854016999441,NA,NA,NA
"ENS269181",245.114456487657,1.94141342975471,0.43769845104652,3.29316548027151,0.000990661494344668,0.376194529685774,NA,NA,NA
"ENS243518",3684.70685858074,2.71852853935201,0.679507838478178,3.26490499994911,0.0010950079570747,0.41074816770318,NA,NA,NA
"ENS207874",2.52683463915208,-3.67017244426858,0.979616298075003,-3.23613689410653,0.00121159263747526,0.449004553447006,"MIR610","693195","microRNA 610"
"ENS133048",2053.47349305665,2.8063875511764,0.716873792879,3.21728534936928,0.00129409820789068,0.473871033053684,"CHI3L1","1116","chitinase 3 like 1"
"ENS231114",511.095300341333,1.93548376171987,0.447472162070204,3.20798450361401,0.00133668700647633,0.483707713320065,NA,NA,NA
"ENS224104",25.2422571193206,1.65968037319095,0.363062961934213,3.194157748873,0.00140239462447392,0.501584375048759,NA,NA,NA
"ENS132953",328.045480352709,2.89695730858039,0.752959599728667,3.18338103325085,0.00145565917531787,0.514650811190832,"XPO4","64328","exportin 4"
"ENS257443",24.6225927021123,2.80355212053087,0.726957165085842,3.16875908398105,0.0015309123539897,0.535106057913286,NA,NA,NA
"ENS243508",108.934357391145,3.10371665223793,0.824859334360464,3.15655838974856,0.0015964292113014,0.542315215617509,NA,NA,NA
"ENS092850",33.9440569240637,4.35340955228978,1.22105713381537,3.15579791115034,0.00160059717074587,0.542315215617509,"TEKT2","27285","tektin 2"
"ENS168389",6.45440589222932,2.03486317108244,0.486470522038141,3.15510005550162,0.00160443072340431,0.542315215617509,"MFSD2A","84879","major facilitator superfamily domain containing 2A"
"ENS242284",332.02622542913,-3.07555799280296,0.817901612059318,-3.14898265858432,0.00163839917387243,0.546241494692731,NA,NA,NA
"ENS243359",747.747706655611,2.6182417718671,0.673175090358713,3.1466431277758,0.00165156406275965,0.546241494692731,NA,NA,NA
"ENS243549",878.35120886506,2.96881471694937,0.786651246442136,3.13838531129941,0.00169881401000256,0.552207544605915,NA,NA,NA
"ENS248807",2.35137949570113,2.19648472198574,0.541125914949896,3.13510160041554,0.00171794600938595,0.552207544605915,NA,NA,NA
"ENS266754",2318.07697441751,2.80748740714831,0.73623759207271,3.13416135225058,0.00172346058981657,0.552207544605915,NA,NA,NA
"ENS234952",390.263712016428,1.9238940749514,0.455029199567408,3.12923670899601,0.0017526105997494,0.554297735306527,NA,NA,NA
"ENS263648",873.75841679847,-2.68623047494269,0.699586812620891,-3.12503099758602,0.00177786324188456,0.554297735306527,NA,NA,NA
"ENS111796",279.155810117783,-1.88073278123483,0.441974559421833,-3.12400963313597,0.00178404615869652,0.554297735306527,"KLRB1","3820","killer cell lectin like receptor B1"
"ENS246379",84.8316347060595,2.00329292270631,0.482655689085397,3.11462799818014,0.00184177027551499,0.566510119045655,"LOC283856","283856","uncharacterized LOC283856"
"ENS133142",147.224633731029,3.15865428640128,0.85513545390947,3.10904462473934,0.00187693367463226,0.571609929683304,"TCEAL4","79921","transcription elongation factor A like 4"
