"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","genename"
"ENS243970",430.299896203959,25.8249264044408,1.45628698833084,17.3900656995278,9.81217073565612e-68,2.95042161850444e-63,"PPIEL","728448","peptidylprolyl isomerase E like pseudogene"
"ENS133138",56.2824563480044,22.1227015936999,1.36975724170411,15.7857910404614,3.89732623235395e-56,5.85943512403255e-52,"TBC1D8B","54885","TBC1 domain family member 8B"
"ENS133247",62.2032927502099,21.9759203710144,1.46928745322115,14.6165546598335,2.20268294760741e-48,2.20774911838691e-44,"KMT5C","84787","lysine methyltransferase 5C"
"ENS133226",7.21938266882119,19.1288932714967,1.3017405441723,14.3107575122366,1.87460217342023e-46,1.40918531881432e-42,"SRRM1","10250","serine and arginine repetitive matrix 1"
"ENS133107",36.0997172416782,21.3324556441622,1.48410117979907,14.0370858319665,9.24361837750337e-45,5.55892721986298e-41,"TRPC4","7223","transient receptor potential cation channel subfamily C member 4"
"ENS243664",18.1958440023735,20.614379360059,1.5817767737639,12.7163198332949,4.79936945943564e-37,2.40520400459617e-33,NA,NA,NA
"ENS133055",85.3782726168225,22.0320072063239,1.69935415756775,12.6707002836549,8.59437056519848e-37,3.69177326464219e-33,"MYBPH","4608","myosin binding protein H"
"ENS132950",5.37467463433295,18.8713075767873,1.45750998267544,12.6045843906088,1.99219977153935e-36,7.48793186630207e-33,"ZMYM5","9205","zinc finger MYM-type containing 5"
"ENS243771",19.8776282657652,21.225568305053,1.68822932137033,12.2765124635023,1.21107243588838e-34,4.04619300830306e-31,NA,NA,NA
"ENS243766",8.32447315515247,19.4677197239519,1.64299382343621,11.544608052319,7.85989443338602e-31,2.36339165717484e-27,NA,NA,NA
"ENS266630",31.4405849215014,19.3647320989494,1.64218600382677,11.4875733047226,1.5233106280352e-30,4.16403884312639e-27,NA,NA,NA
"ENS243479",1.95337588352476,17.9394005536844,1.56230343027995,11.1626206636181,6.21325625202686e-29,1.55688668535163e-25,"MNX1-AS1","645249","MNX1 antisense RNA 1 (head to head)"
"ENS243749",25.170497732283,19.637286971257,1.72885517882152,11.069340686073,1.7669579245955e-28,4.08697367958939e-25,"TMEM35B","100506144","transmembrane protein 35B"
"ENS132958",8.6697695837971,19.4369766533166,1.74050631651616,10.8801539377469,1.43320724955347e-27,3.07822205620167e-24,"TPTE2","93492","transmembrane phosphoinositide 3-phosphatase and tensin homolog 2"
"ENS251704",2.01503364333482,17.7542971494135,1.61111194330506,10.709558216059,9.17988310790563e-27,1.84019936781076e-23,NA,NA,NA
"ENS134308",2.78198244373873,17.746434835448,1.64995490473517,10.4526704250842,1.424565558769e-25,2.67720386166406e-22,"YWHAQ","10971","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta"
"ENS266329",5.45335916033537,18.8124417243291,1.94083240520953,9.43535447737545,3.89674402415315e-21,6.89242329778007e-18,"MIR4281","100422962","microRNA 4281"
"ENS171815",8197.73287674767,6.14446698124163,0.604474451873208,9.33780900706386,9.83481303212605e-21,1.64290551701666e-17,"PCDHB1","29930","protocadherin beta 1"
"ENS133131",4.70434124190171,19.6854016037699,2.11088565796823,9.08879243712149,1.00145098706072e-19,1.58487524894362e-16,"MORC4","79710","MORC family CW-type zinc finger 4"
"ENS132952",1.32102451263938,17.8566171921143,1.93552875283236,8.9673776050681,3.03657641879077e-19,4.56534081683098e-16,"USPL1","10208","ubiquitin specific peptidase like 1"
"ENS217135",2.15910639079111,16.8562308948174,1.87509712755964,8.72287128726201,2.71234532993597e-18,3.88369103456403e-15,NA,NA,NA
"ENS132801",2950.97764941692,7.78466214872282,0.84076775559772,8.66429772100858,4.54304731670653e-18,6.20931317118403e-15,"ZSWIM3","140831","zinc finger SWIM-type containing 3"
"ENS243317",179334.733393294,7.9502045536945,0.866063771113113,8.60237410014171,7.80837888850404e-18,1.0208267165149e-14,"STMP1","647087","short transmembrane mitochondrial protein 1"
"ENS243313",79022.1133171809,6.39932248727796,0.691952346533919,8.52561959913635,1.51994001144284e-17,1.90429484183645e-14,NA,NA,NA
"ENS132932",8640.17505145345,7.78262668989401,0.85997124936777,8.46845367824566,2.48672089105205e-17,2.99092841892176e-14,"ATP8A2","51761","ATPase phospholipid transporting 8A2"
"ENS266765",3382.11576857015,6.43158662650339,0.701125726470908,8.46008982776859,2.67171646096894e-17,3.06198158605145e-14,NA,NA,NA
"ENS132855",3441.66055852267,7.91108821504322,0.876352408910246,8.45674427284223,2.74945967020484e-17,3.06198158605145e-14,"ANGPTL3","27329","angiopoietin like 3"
"ENS132837",4306.63379398332,7.45081920688269,0.834157586436716,8.33274110300263,7.89917746088937e-17,8.48287025255294e-14,"DMGDH","29958","dimethylglycine dehydrogenase"
"ENS133048",2053.47349305665,7.86179186758687,0.885344929549781,8.31516804566839,9.16223509643637e-17,9.49997403843949e-14,"CHI3L1","1116","chitinase 3 like 1"
"ENS266754",2318.07697441751,7.94386164340867,0.904688135640854,8.22809689897797,1.90211188846904e-16,1.90648674581252e-13,NA,NA,NA
"ENS132911",637.315427978076,8.40061316972965,0.972904602246343,8.12064528370808,4.63711499205575e-16,4.49785195793949e-13,"NMUR2","56923","neuromedin U receptor 2"
"ENS187764",1582.44289562516,6.88421080011715,0.805781930941802,7.92300069654733,2.31846278724273e-15,2.17855804842505e-12,"SEMA4D","10507","semaphorin 4D"
"ENS243359",747.747706655611,7.10808838481596,0.837259524873263,7.89252100275149,2.9614247148851e-15,2.69839635611757e-12,NA,NA,NA
"ENS132840",717.743961745514,8.95900783663047,1.08187454991506,7.81884354086581,5.33108211763212e-15,4.49456952819598e-12,"BHMT2","23743","betaine--homocysteine S-methyltransferase 2"
"ENS243503",1344.01180616919,7.87996209870473,0.943897627397395,7.81860435336984,5.34121976110861e-15,4.49456952819598e-12,NA,NA,NA
"ENS243560",1097.39219069413,8.00855168076251,0.960459319696777,7.81766757506503,5.38110688799279e-15,4.49456952819598e-12,NA,NA,NA
"ENS243518",3684.70685858074,6.9800826667993,0.830016908763265,7.80716946652895,5.84866060102154e-15,4.75306420573288e-12,NA,NA,NA
